mapmaker_name,mapmaker_id,map_or_book_id,country,city,date
Giacomo Gastaldi,30.0,2.1,Belgium,Antwerp,1553
Johannes Honter,41.0,E,Belgium,Antwerp,1553
Vincenzo Paletino,60.0,1.1,Belgium,Antwerp,1553
Giacomo Gastaldi,30.0,3.1,Belgium,Antwerp,1555
Giacomo Gastaldi,30.0,77,Belgium,Antwerp,1555
Johannes Honter,41.0,E,Belgium,Antwerp,1555
Anton Wied,81.0,1.2,Belgium,Antwerp,1555
Gilles Boileau de Buillon,12.0,21,Belgium,Antwerp,1556
Gilles Boileau de Buillon,12.0,20,Belgium,Antwerp,1556
Jacob van Deventer,25.0,7.1,Belgium,Antwerp,1556
Gemma Frisius,29.0,J,Belgium,Antwerp,1556
Gerard Mercator,56.0,A,Belgium,Antwerp,1556
André Thevet,77.0,А,Belgium,Antwerp,1556
Gilles Boileau de Buillon,12.0,C,Belgium,Antwerp,1557
Gilles Boileau de Buillon,12.0,22,Belgium,Antwerp,1557
Charles de l'Escluse,26.0,A,Belgium,Antwerp,1557
Augustin Hirschvogel,40.0,4.7,Belgium,Antwerp,1557
Gerard Mercator,56.0,А,Belgium,Antwerp,1557
Tilemann Stella,72.0,1.1,Belgium,Antwerp,1557
Jacob van Deventer,25.0,1.3,Belgium,Antwerp,1558
André Thevet,77.0,B,Belgium,Antwerp,1558
Peter Böckel,11.0,1,Belgium,Antwerp,1559
Jacob van Deventer,25.0,8.2,Belgium,Antwerp,1559
Tilemann Stella,72.0,5.1,Belgium,Antwerp,1559
Cornelis Anthoniszoon,6.0,8.3,Belgium,Antwerp,1560
Jacob van Deventer,25.0,11.2,Belgium,Antwerp,1560
Johannes Honter,41.0,E,Belgium,Antwerp,1560
Giovan Giorgio Settala,69.0,1,Belgium,Antwerp,1560
Peter Apian,7.0,E,Belgium,Antwerp,1561
Gemma Frisius,29.0,A,Belgium,Antwerp,1561
Liévin Algoet,3.0,2.1,Belgium,Antwerp,1562
Marcus Ambrosius,5.0,A,Belgium,Antwerp,1562
Gemma Frisius,29.0,E,Belgium,Antwerp,1562
Diego Gutierrez,37.0,2,Belgium,Antwerp,1562
Heinrich Zell,84.0,5.7,Belgium,Antwerp,1562
Christian Sgrooten,70.0,2.1,Belgium,Antwerp,1563-64
Abraham Ortelius,1.0,1,Belgium,Antwerp,1564
