mapmaker_id,map_or_book_id,country,city,date
1,13,Belgium,Antwerp,1570
1,14,Belgium,Antwerp,1570
1,15,Belgium,Antwerp,1570
1,16,Belgium,Antwerp,1570
1,17,Belgium,Antwerp,1570
1,18,Belgium,Antwerp,1570
1,19,Belgium,Antwerp,1570
1,20,Belgium,Antwerp,1570
1,21,Belgium,Antwerp,1570
1,22,Belgium,Antwerp,1570
1,23,Belgium,Antwerp,1570
1,24,Belgium,Antwerp,1570
1,25,Belgium,Antwerp,1570
1,26,Belgium,Antwerp,1570
1,27,Belgium,Antwerp,1570
1,28,Belgium,Antwerp,1570
1,29,Belgium,Antwerp,1570
1,30,Belgium,Antwerp,1570
1,31,Belgium,Antwerp,1570
1,32,Belgium,Antwerp,1570
1,33,Belgium,Antwerp,1570
1,34,Belgium,Antwerp,1570
1,35,Belgium,Antwerp,1570
1,36,Belgium,Antwerp,1570
1,37,Belgium,Antwerp,1570
1,38,Belgium,Antwerp,1570
1,39,Belgium,Antwerp,1570
1,40,Belgium,Antwerp,1570
1,41,Belgium,Antwerp,1570
1,42,Belgium,Antwerp,1570
1,43,Belgium,Antwerp,1570
1,44,Belgium,Antwerp,1570
1,45,Belgium,Antwerp,1570
1,46,Belgium,Antwerp,1570
1,47,Belgium,Antwerp,1570
1,48,Belgium,Antwerp,1570
1,49,Belgium,Antwerp,1570
1,50,Belgium,Antwerp,1570
1,51,Belgium,Antwerp,1570
1,52,Belgium,Antwerp,1570
1,53,Belgium,Antwerp,1570
1,54,Belgium,Antwerp,1570
1,55,Belgium,Antwerp,1570
1,56,Belgium,Antwerp,1570
1,57,Belgium,Antwerp,1570
1,58,Belgium,Antwerp,1570
1,59,Belgium,Antwerp,1570
1,60,Belgium,Antwerp,1570
1,61,Belgium,Antwerp,1570
1,62,Belgium,Antwerp,1570
1,63,Belgium,Antwerp,1570
1,64,Belgium,Antwerp,1570
1,65,Belgium,Antwerp,1570
1,66,Belgium,Antwerp,1570
1,67,Belgium,Antwerp,1570
1,68,Belgium,Antwerp,1570
1,69,Belgium,Antwerp,1570
1,70,Belgium,Antwerp,1570
1,71,Belgium,Antwerp,1570
1,72,Belgium,Antwerp,1570
1,73,Belgium,Antwerp,1570
1,74,Belgium,Antwerp,1570
1,75,Belgium,Antwerp,1570
1,A,Belgium,Antwerp,1570
3,2.2,Belgium,Antwerp,1570
6,8.5,Belgium,Antwerp,1570
