mapmaker_id,first_ed_map,country,city,date
1,135,Belgium,Antwerp,1584
1,136,Belgium,Antwerp,1584
1,137,Belgium,Antwerp,1584
1,138,Belgium,Antwerp,1584
1,139,Belgium,Antwerp,1584
1,140,Belgium,Antwerp,1584
1,141,Belgium,Antwerp,1584
1,142,Belgium,Antwerp,1584
1,143,Belgium,Antwerp,1584
1,144,Belgium,Antwerp,1584
1,145,Belgium,Antwerp,1584
1,146,Belgium,Antwerp,1584
1,147,Belgium,Antwerp,1584
1,148,Belgium,Antwerp,1584
1,149,Belgium,Antwerp,1584
1,150,Belgium,Antwerp,1584
1,151,Belgium,Antwerp,1584
1,152,Belgium,Antwerp,1584
1,153,Belgium,Antwerp,1584
1,154,Belgium,Antwerp,1584
1,155,Belgium,Antwerp,1584
1,156,Belgium,Antwerp,1584
1,157,Belgium,Antwerp,1584
1,158,Belgium,Antwerp,1584
1,159,Belgium,Antwerp,1584
1,160,Belgium,Antwerp,1584
1,161,Belgium,Antwerp,1584
1,162,Belgium,Antwerp,1584
1,163,Belgium,Antwerp,1584
1,164,Belgium,Antwerp,1587
1,165,Belgium,Antwerp,1587
1,166,Belgium,Antwerp,1587
1,167,Belgium,Antwerp,1587
1,168,Belgium,Antwerp,1587
1,169,Belgium,Antwerp,1587
1,170,Belgium,Antwerp,1587
1,171,Belgium,Antwerp,1587
1,172,Belgium,Antwerp,1587
1,173,Belgium,Antwerp,1587
1,174,Belgium,Antwerp,1587
1,175,Belgium,Antwerp,1587
1,176,Belgium,Antwerp,1587
1,177,Belgium,Antwerp,1587
1,178,Belgium,Antwerp,1587
1,179,Belgium,Antwerp,1587
1,180,Belgium,Antwerp,1587
1,181,Belgium,Antwerp,1587
1,182,Belgium,Antwerp,1587
1,183,Belgium,Antwerp,1587
1,184,Belgium,Antwerp,1587
1,185,Belgium,Antwerp,1587
1,188,Belgium,Antwerp,1595
1,189,Belgium,Antwerp,1595
1,190,Belgium,Antwerp,1595
1,191,Belgium,Antwerp,1595
1,192,Belgium,Antwerp,1595
1,193,Belgium,Antwerp,1595
1,194,Belgium,Antwerp,1595
1,195,Belgium,Antwerp,1595
1,196,Belgium,Antwerp,1595
1,197,Belgium,Antwerp,1595
1,198,Belgium,Antwerp,1595
1,199,Belgium,Antwerp,1595
1,200,Belgium,Antwerp,1595
1,201,Belgium,Antwerp,1595
1,202,Belgium,Antwerp,1595
1,203,Belgium,Antwerp,1595
1,204,Belgium,Antwerp,1595
1,205,Belgium,Antwerp,1595
1,206,Belgium,Antwerp,1595
1,207,Belgium,Antwerp,1595
1,208,Belgium,Antwerp,1595
1,209,Belgium,Antwerp,1595
45,3,Belgium,Antwerp,1595
45,4,Belgium,Antwerp,1595
1,210,Belgium,Antwerp,1595 ог 96
1,219,Belgium,Antwerp,1624
62,1,Belgium,Brussels,1547
29,3,Belgium,Louvain,1537
29,4,Belgium,Louvain,1537
56,3,Belgium,Louvain,1537
56,4,Belgium,Louvain,1538
29,7,Belgium,Louvain,1540
56,6,Belgium,Louvain,1540
56,7,Belgium,Louvain,1541
56,10,Belgium,Louvain,1551
31,2,England,London,1546
31,2,England,London,1555
43,1,England,London,1562
59,1,France,Lyons,1544
59,4,France,Lyons,1554
59,5,France,Lyons,1558
76,1,France,Lyons,1560
76,11,France,Lyons,1561
29,8,France,Lyons,1564
19,1,France,Lyons,1566
27,1,France,Paris,1517
27,3,France,Paris,1525
27,4,France,Paris,1530
61,1,France,Paris,1537
57,3,France,Paris,154057
27,5,France,Paris,1542
27,8,France,Paris,1543
27,2,France,Paris,1545
44,2,France,Paris,1545
12,1,France,Paris,1551
27,11,France,Paris,1551
12,2,France,Paris,1555
12,3,France,Paris,1555
12,4,France,Paris,1555
12,5,France,Paris,1555
12,6,France,Paris,1555
12,7,France,Paris,1555
12,8,France,Paris,1555
12,9,France,Paris,1555
12,10,France,Paris,1555
12,11,France,Paris,1555
12,12,France,Paris,1555
12,13,France,Paris,1555
12,14,France,Paris,1555
12,15,France,Paris,1555
12,16,France,Paris,1555
12,17,France,Paris,1555
12,18,France,Paris,1555
12,19,France,Paris,1555
59,6,France,Paris,1559
44,4,France,Paris,са. 1559-60
29,5,France,Paris,1560
44,5,France,Paris,1560
77,1,France,Paris,1562
77,2,France,Paris,1562
77,3,France,Paris,1563
77,4,France,Paris,1565
77,5,France,Paris,1575
77,6,France,Paris,1575
77,7,France,Paris,1575
77,8,France,Paris,1575
77,9,France,Paris,1575
77,10,France,Paris,1575
77,11,France,Paris,1575
77,12,France,Paris,1575
77,13,France,Paris,1575
77,14,France,Paris,1575
77,15,France,Paris,1575
77,16,France,Paris,1575
77,17,France,Paris,1575
77,18,France,Paris,1575
77,19,France,Paris,1575
77,20,France,Paris,1575
77,21,France,Paris,1575
77,22,France,Paris,1575
77,23,France,Paris,1575
77,24,France,Paris,1575
77,25,France,Paris,1575
77,26,France,Paris,1575
77,27,France,Paris,1575
77,28,France,Paris,1575
77,29,France,Paris,1575
77,30,France,Paris,1575
77,31,France,Paris,1575
77,32,France,Paris,1575
77,33,France,Paris,1575
77,34,France,Paris,1575
77,35,France,Paris,1575
77,36,France,Paris,1575
77,37,France,Paris,1575
77,38,France,Paris,1575
77,39,France,Paris,1575
29,5,France,Paris,1576
77,40,France,Paris,1576
77,33,France,Paris,1581
59,18,France,Paris,1583
77,0,France,Paris,1583
77,46,France,Paris,1586
77,52,France,Paris,1586
77,54,France,Paris,1586
77,62,France,Paris,1586
77,77,France,Paris,1586
77,80,France,Paris,1586
77,85,France,Paris,1586
77,87,France,Paris,1586
77,95,France,Paris,1586
77,102,France,Paris,1586
77,103,France,Paris,1586
77,106,France,Paris,1586
77,113,France,Paris,1586
77,120,France,Paris,1586
77,123,France,Paris,1586
77 ,128,France,Paris,1586
77 ,129,France,Paris,1586
77 ,130,France,Paris,1586
77 ,131,France,Paris,1586
77 ,132,France,Paris,1586
77 ,133,France,Paris,1586
77,135,France,Paris,1586
77,136,France,Paris,1586
77,138,France,Paris,1586
77,139,France,Paris,1586
77,140,France,Paris,1586
77,142,France,Paris,1586
77,143,France,Paris,1586
77,148,France,Paris,1586
77,152,France,Paris,1586
77,154,France,Paris,1586
77,156,France,Paris,1586
77,158,France,Paris,1586
77,159,France,Paris,1586
77,160,France,Paris,1586
77,163,France,Paris,1586
77,164,France,Paris,1586
77,169,France,Paris,1586
77,175,France,Paris,1586
77,176,France,Paris,1586
77,177,France,Paris,1586
77,181,France,Paris,1586
77,182,France,Paris,1586
77 ,185,France,Paris,1586
77 ,186,France,Paris,1586
77,190,France,Paris,1586
77,197,France,Paris,1586
77,201,France,Paris,1586
77,202,France,Paris,1586
77 ,208,France,Paris,1586
77 ,209,France,Paris,1586
77 ,210,France,Paris,1586
77,212,France,Paris,1586
80,1,France,St. Die,1507
80,2,France,St. Die,1507
80,3,France,Strasbourg,1508
80,4,France,Strasbourg,1511
80,5,France,Strasbourg,1513
80,6,France,Strasbourg,1513
80,7,France,Strasbourg,1513
80,8,France,Strasbourg,1513
80,9,France,Strasbourg,1513
80,10,France,Strasbourg,1513
80,11,France,Strasbourg,1513
80,12,France,Strasbourg,1513
80,13,France,Strasbourg,1513
80,14,France,Strasbourg,1513
80,15,France,Strasbourg,1513
